rgn_id,habitat,km2
1,mangrove,0
1,mangrove_inland1km,0
1,mangrove_offshore,0
1,rocky_reef,11110.4
1,saltmarsh,314.508957489879
1,soft_bottom,490611.519129419
1,seaice_edge,6242.89772727271
1,seaice_shoreline,1988.63636363636
2,mangrove,0
2,mangrove_inland1km,0
2,mangrove_offshore,0
2,rocky_reef,11110.4
2,saltmarsh,314.508957489879
2,soft_bottom,490611.519129419
2,seaice_edge,6242.89772727271
2,seaice_shoreline,1988.63636363636
3,mangrove,0
3,mangrove_inland1km,0
3,mangrove_offshore,0
3,rocky_reef,11110.4
3,saltmarsh,314.508957489879
3,soft_bottom,490611.519129419
3,seaice_edge,6242.89772727271
3,seaice_shoreline,1988.63636363636
4,mangrove,0
4,mangrove_inland1km,0
4,mangrove_offshore,0
4,rocky_reef,11110.4
4,saltmarsh,314.508957489879
4,soft_bottom,490611.519129419
4,seaice_edge,6242.89772727271
4,seaice_shoreline,1988.63636363636
