rgn_id,taxa_code,sust_coeff
1,Atlantic cod_623,0.17
1,Atlantic halibut_624,0.533333333
1,Atlantic salmon_625,0.3
1,Blue mussel_626,0.93
1,Common edible cockle_627,0.733333333
1,Cupped oysters nei_628,0.87
1,European flat oyster_629,0.83
1,European seabass_630,0.5
1,Great Atlantic scallop_631,0.811764706
1,Grooved carpet shell_632,0.866666667
1,Japanese carpet shell_633,0.841666667
1,Northern quahog(=Hard clam)_634,0.811764706
1,Pacific cupped oyster_635,0.83
1,Queen scallop_636,0.811764706
1,Rainbow trout_637,0.566666667
1,Rainbow trout_638,0.566666667
1,Sea trout_639,0.466666667
1,Turbot_640,0.5
2,Atlantic cod_623,0.17
2,Atlantic halibut_624,0.533333333
2,Atlantic salmon_625,0.3
2,Blue mussel_626,0.93
2,Common edible cockle_627,0.733333333
2,Cupped oysters nei_628,0.87
2,European flat oyster_629,0.83
2,European seabass_630,0.5
2,Great Atlantic scallop_631,0.811764706
2,Grooved carpet shell_632,0.866666667
2,Japanese carpet shell_633,0.841666667
2,Northern quahog(=Hard clam)_634,0.811764706
2,Pacific cupped oyster_635,0.83
2,Queen scallop_636,0.811764706
2,Rainbow trout_637,0.566666667
2,Rainbow trout_638,0.566666667
2,Sea trout_639,0.466666667
2,Turbot_640,0.5
3,Atlantic cod_623,0.17
3,Atlantic halibut_624,0.533333333
3,Atlantic salmon_625,0.3
3,Blue mussel_626,0.93
3,Common edible cockle_627,0.733333333
3,Cupped oysters nei_628,0.87
3,European flat oyster_629,0.83
3,European seabass_630,0.5
3,Great Atlantic scallop_631,0.811764706
3,Grooved carpet shell_632,0.866666667
3,Japanese carpet shell_633,0.841666667
3,Northern quahog(=Hard clam)_634,0.811764706
3,Pacific cupped oyster_635,0.83
3,Queen scallop_636,0.811764706
3,Rainbow trout_637,0.566666667
3,Rainbow trout_638,0.566666667
3,Sea trout_639,0.466666667
3,Turbot_640,0.5
4,Atlantic cod_623,0.17
4,Atlantic halibut_624,0.533333333
4,Atlantic salmon_625,0.3
4,Blue mussel_626,0.93
4,Common edible cockle_627,0.733333333
4,Cupped oysters nei_628,0.87
4,European flat oyster_629,0.83
4,European seabass_630,0.5
4,Great Atlantic scallop_631,0.811764706
4,Grooved carpet shell_632,0.866666667
4,Japanese carpet shell_633,0.841666667
4,Northern quahog(=Hard clam)_634,0.811764706
4,Pacific cupped oyster_635,0.83
4,Queen scallop_636,0.811764706
4,Rainbow trout_637,0.566666667
4,Rainbow trout_638,0.566666667
4,Sea trout_639,0.466666667
4,Turbot_640,0.5
